time,username,message
33,juspeepin,KappaInfinite KappaInfinite KappaInfinite KappaInfinite KappaInfinite
33,ty3rr3,jynki pooooo
33,albinx11,WWWWWWWWWWWWWWWWW
33,nipper1223,WE HEREEEEEEEE
33,Shadowhound04,yurrr
33,goofy_drob,WWWWWW
33,mrpringle5956,late
34,4_Russ,and just like that theres 1k ppl in here
34,wattsonpierresbabymama,wwwww
34,overthinkrrr,WWWWW
34,jonesonttv,wwww
34,cr1ryze,e
34,monkem4n777,LETS GO BABBYYY
35,mrpringle5956,rich
35,wildrage660,yoooooooooooooo
35,HdOkE27,late
35,clipzee111,early
35,faze_kelvin1,early
35,ryli3ttv,wewwww
36,cr1ryze,www
36,overthinkrrr,WWWW
36,alexblackknight09,YOOOOOOOOOOOOOOOOOOOOOOOOO
36,mysteriousmoses,how we doinnnn
36,captain8293,late
36,vkyle_,mommy
36,Stay_Juicy,🧢
37,ty3rr3,jynki poooo
37,mrpringle5956,poor
37,sponsiza,wwww
37,ballerx16,girth and turf
37,Nightbot,poor❌ pour✅
37,olliesteffy,sup idiot
37,moxivgc,LATE
37,HdOkE27,lateeeeeeeeeeeeeeeeee
37,microsoftboy1810,yoooo
38,overthinkrrr,W STREAM
38,mheemna,hell yeah brother
39,nicksiscool_,@jynxzi swansea highlights
39,sacobes23,hhhhhhbbbbbhhhgggghhgfffgghhhggcvvvvhh
39,mrpringle5956,late
39,usna96_4eva,yooooo
39,mark10ft,COME ON
39,donald_thedu3k,YO
40,viexzy,give it to me
40,ty3rr3,jynki pooo
40,ImpactX2,YOOOOOOOOOOOO
40,cr1ryze,w
41,A3_offline,"A3_offline subscribed at Tier 1. They've subscribed for 40 months, currently on a 23 month streak! 7"
41,slimjim_iamcool,lateee
41,wattsonpierresbabymama,wwwwwww lets gooooooooo
41,ydqvii,"idkdaviiii subscribed with Prime. They've subscribed for 5 months, currently on a 2 month streak! yoooooooooooooooo"
41,keggy42069,LATE FAT ASS
41,hsxkyyv,wewwwwwww
41,vvx_wolfiez,hey junky
42,legendary_wish,lateeee
42,junko7jagerdarkice,too late
42,Kenpachi_TMK,poor
42,Fuceli,late
42,RushBDM,late
42,O_JONYBOI,your big
42,YautjaXPrime,b
43,donkyridr69,7
43,ben_yupa,w
43,swngbyclipz,G| GG G  G G G G G G G G  G G G G G G G  G G
43,PrivateCent,late once again what are you good for
43,kellen77777777,LATE
43,liam12350_,fat
43,mgrizz02,late
43,bradley1204,viper stream
44,crazyb_btw,wsg bum
44,emojesus5150x,ad
44,beals813,late
45,swngbyclipz,gggggg
45,Privvyhh,RAHHHHHH
45,bobwiddlebuilder,do it u wont
45,may304,first
45,loveless37,30 secs in never been this early
45,usna96_4eva,!points
45,ilplayit,late like always
45,StreamElements,@usna96_4eva usna96_4eva has 10 points and is rank 2790553/3567280 on the leaderboard.
45,lillixm13,LATEEEE
45,jackmccreanor24,spend the money now
46,SP5DER6913,"SP5DER6913 subscribed with Prime. They've subscribed for 12 months, currently on a 4 month streak! "
46,emojesus5150x,wack
46,brendanxx7,always late
46,jennygoldx,W
46,adeadrabbit07,bros realizing he’s rich
46,wattsonpierresbabymama,JAGER BLACK ICE TODAY
47,rizky_kk,GLACIER
47,BigDaddyBaller28,JINKYYYYYY
47,itzzz_asher,YUURRRR
47,XLE4NY,WWWWWW
47,w7rrior,JINKIE
47,fingerkwinzio,skibidi
47,chunkojunko_7,w fatass
47,mynatory_,bro fell off 700 viewers
47,katchdeezzhandzz,late
47,fjttv6,7777
48,MarcusLeGreat,IM GAYY
48,lillixm13,LATe
48,vvx_wolfiez,hey jinky
