time,username,message
1334,02cthomas,not KO switch type
1341,02cthomas,switch type
1348,02cthomas,switch the type
1383,02cthomas,Superstar KO and switch type to Exhibition
1566,02cthomas,switch game type to Exhibition
117,04ktori,shut that shit up
3216,0Mr_AJ0,?
3224,0Mr_AJ0,😔 clipfarm
3238,0Mr_AJ0,clip farming
3383,0Mr_AJ0,qb sneak
4371,0SamaJuan,huhhh??
7532,0z_ozone,tax evading
7715,0z_ozone,too much gooning
8293,0z_ozone,Bro farming the Yes! friend chats
8766,0z_ozone,bro got scammed
8774,0z_ozone,its 9 mf
4751,100samm,bro watch game awards
183,106an,DOGSHIT
186,106an,YES!! DAD
195,106an,Yes! MIKE
203,106an,laughing hard laughing hard laughing hard laughing hard laughing hard laughing hard laughing hard laughing hard
210,106an,?????
226,106an,WTF
5447,10_yr_old_radish,look at predictions
5473,10_yr_old_radish,look at the predictions
774,111galaxyhunter111,xD
295,1234caseohsiscool,😔 caper
8468,123yoitsmeyoyo,me
8469,123yoitsmeyoyo,e
8480,123yoitsmeyoyo,ne
319,156246768,LMAO 🤣🤣🤣
104,1Bibby,YES!!!!!
1959,1Luichi,bro takes the worse game siege seriouss but not any other game
2252,1NateReed,how does EA not even know how there own damn game works lmao
3073,1NateReed,bro stop yelling my gofd
5161,1_mf___,yres
180,1i1ri1ey,adddddd
8748,1ijake,here we go
56,1up_evo,YES!!
1147,1xPxlar,yes
4720,1xTURTLE,TOOOOOOOOFUNNNNNYYYYYY
4731,1xTURTLE,SOLD
3947,200_dark,Yo don't let the haters get to you man. I love you
1639,21feq,or go to play now and invite them
4722,220eazy,😔
235,2423523523153525342565,VISE
1376,25414hunter,google it
1246,262brando,AYF
1252,262brando,N AYF 😔
2911,262brando,AURA
2956,262brando,LMAOOOO
3415,262brando,Yes! confident and assertive
3418,262brando,WHAT A confident and assertive
3599,262brando,ELMO LAUGH
3641,262brando,Yes! RAID
4404,262brando,Yes!
7656,262brando,about 500 predicts with “13k” viewers
7711,262brando,12k view bots is nuts
7746,262brando,lower fat ass
7793,262brando,12.5k view bots
7816,262brando,LOOK AT PREDICTS DUMBASSES ITS ONLY 500 PEOPLE OR SO
7862,262brando,244 votes for jynxzi 252 for sketch
7889,262brando,500 viewers
472,2AMGhostWr,ready to game cringy ass
476,2AMGhostWr,Late
587,2AMGhostWr,UR GONNA LOSE BECAUSE YOUR ASS SHUT IP
7237,2_kyrie,You got scammed
3815,2famous_kaleb,pickyyyyyuuu
3824,2famous_kaleb,poopy
2130,2j_jared,nah this shit lame now
2135,2j_jared,😔😔😔😔😔😔
2138,2j_jared,😔😔😔😔😔😔
2157,2j_jared,yo Jynxzi get someone with a fucking brain to help
2438,2kSavage2310,yeah this is chalked
2638,2kcilar,🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅🍅
3530,2xstinky,Bucs ontop
1637,2youngmas,ngl
1639,2youngmas,nfl
6767,313Astoroc,15k bruhcrying hard
3332,313snifffn,yoooo
7223,313wakil,cash out Vick won
7229,313wakil,pay up
7300,313wakil,Mick won
268,321_calyb,Lvaper
6038,3hares,BakerShitfield
6057,3hares,Yes!
6157,3hares,Yes! 󠀀
6161,3hares,LETSGO
6188,3hares,absolutely hilarious
6191,3hares,BAD AIIIIm
6225,3hares,"too too easy, no challenge"
6590,3hares,selling
6796,3hares,HUH sketch?
6950,3hares,uncontrollable laughter
6957,3hares,uncontrollable laughter baby kick
7201,3hares,monkaW
7231,3hares,mike pulled the ethernet cord
7280,3hares,UUH
7286,3hares,UUH 󠀀
7398,3hares,cokebert
7453,3hares,LockedIn
7724,3hares,SNIFFA
7739,3hares,SNIFFA 4
7756,3hares,WutFace put them dawgs away
7840,3hares,cooked
7852,3hares,uncontrollable laughter
7864,3hares,dookied on ya
7879,3hares,this game ICANT
8421,3hares,pre crashout
8458,3hares,Yes!
159,440mikey,imagine being mike Vick playing this guy laughing uncontrollably
348,440mikey,time for a new chair laughing uncontrollablylaughing uncontrollablylaughing uncontrollably
275,46754676,jynxziVapeBreak
283,46754676,jynxziVapeBreak jynxziVapeBreak jynxziVapeBreak jynxziVapeBreak
459,46754676,vape
2869,4ethanzzz,dak
2871,4ethanzzz,dakkk
2874,4ethanzzz,dakkkk
949,4r3al,CAP
3036,4wardslash,HUMBLE AND HUNG
547,55cdub,😅😅😅😅
882,5iftyballju,SUPERSTAR KIO
3081,5star_Choppa,stop yelling fatty
1070,60inchclip,KSI DROPPED
